Name,Email,Phone,City,State,Website,Facebook,Type,Notes
"Albany Humane Society",,(229) 888-7387,"",,https://albanyhumane.org,https://facebook.com/Albany,Shelter,""
"California Humane Society",,(175) 805-7604,"",,https://californiahumanesociety.org,https://facebook.com/pg,Shelter,""
"California SPCA",jerry@californiaspca.org,(725) 897-9206,"",,https://californiaspca.org,,Shelter,""
"Fortworth Pets Alive",info@dallaspetsalive.org,(214) 444-9372,"",,https://www.fortworthpetsalive.org,https://facebook.com/DallasPetsAlive,Shelter,""
"Fresno Humane Society",info@fresnohumane.org,(145) 790-5099,"",,https://fresnohumane.org,https://facebook.com/2008,Shelter,""
"Houston Humane Society",info@houstonhumane.org,(713) 433-6421,"",,https://houstonhumane.org,https://facebook.com/HoustonHumaneSociety,Shelter,""
"Houston Pets Alive",info@houstonpetsalive.org,,"",,https://www.houstonpetsalive.org,https://facebook.com/HoustonPetsAlive14,Shelter,""
"Miami Animal Rescue",,(305) 877-2880,"",,https://miamianimalrescue.org,https://facebook.com/MIAMIANIMALRESCUE,Shelter,""
"Sacramento SPCA",,(000) 017-7008,"",,https://www.sacramentospca.org,,Shelter,""
"Sanfrancisco Humane Society",,(177) 008-6660,"",,https://sanfranciscohumane.org,,Shelter,""
"Sanfrancisco Humane Society",,(177) 008-6664,"",,https://sanfranciscohumanesociety.org,,Shelter,""
"Gastineau Humane Society",kennel@ghspets.org,(907) 789-0260,"Juneau",AK,,,Shelter,""
"Haines Animal Rescue Kennel",info@harkalaska.org,(907) 766-3334,"Haines",AK,,,Shelter,""
"Southeast Alaska Organization for Animals",adopt@aksofa.org,(907) 957-9059,"Juneau",AK,,,Shelter,""
"2nd Chance Animal Sanctuary",sshaffer01@bellsouth.net,(205) 910-4423,"Hayden",AL,,,Shelter,""
"4Legs4Justice Animal Advocate and Rescue",4legs4justice@gmail.com,,"Anniston",AL,,,Shelter,""
"A New Leash on Life, Inc.",pets@anewleash.org,(256) 489-7387,"Huntsville",AL,,,Shelter,""
"Adopt A Golden Birmingham",info@adoptagoldenbirmingham.com,(205) 290-7788,"Birmingham",AL,,,Shelter,""
"Adopt a Kitty",marla@adopt-a-kitty.org,(251) 404-0022,"Mobile",AL,,,Shelter,""
"Aide for Animals",bhaas@aideforanimals.org,(251) 463-1688,"Mobile",AL,,,Shelter,""
"Alabama Animal Adoption Society",aaas2808@gmail.com,(205) 871-6351,"Homewood",AL,,,Shelter,""
"Alabama Animal Welfare Organization",kristymobley17@hotmail.com,,"Mobile",AL,,,Shelter,""
"Alabama Rabbit Rescue",alabamarabbitrescue@gmail.com,,"Birmingham",AL,,,Shelter,""
"Alabama Siberian Husky Rescue, Inc.",info@alsiberianhuskyrescue.com,,"Clay",AL,,,Shelter,""
"Alabama SPCA",adopt@alabamaspca.org,(205) 440-3647,"Tuscaloosa",AL,,,Shelter,""
"All About Dogs Coastal Rescue",allaboutdogscr@gmail.com,,"Magnolia Springs",AL,,,Shelter,""
"Andalusia Area Humane Society",aahs@andycable.com,(334) 582-2665,"Andalusia",AL,,,Shelter,""
"Animal Rescue Foundation",inquiries@animalrescuemobile.org,(251) 586-5534,"Mobile",AL,,,Shelter,""
"Arab Animal Shelter",arabanimalshelter@gmail.com,(256) 931-7270,"Arab",AL,,,Shelter,""
"ASPCI",aspci.org@gmail.com,,"Pell City",AL,,,Shelter,""
"Athens Limestone Animal Shelter",thedogpound7889@yahoo.com,(256) 771-7889,"Athens",AL,,,Shelter,""
"Baldwin County Humane Society (BARC!)",info@baldwinhumane.org,(251) 928-4585,"Fairhope",AL,,,Shelter,""
"Bama Bully Rescue",mail@bamabully.org,,"Birmingham",AL,,,Shelter,""
"Basset Hound Rescue of Alabama Inc.",operations@bhral.org,(888) 501-2472,"Northport",AL,,,Shelter,""
"Bibb County AL Pound",friendsofbibbcountyalpound@yahoo.com,(205) 340-1316,"Brent",AL,,,Shelter,""
"Bigbee Humane Society",bigbeehumane@gmail.com,,"Demopolis",AL,,,Shelter,""
"Blair Humane Society",ron@fcdf.org,(205) 274-9971,"Cleveland",AL,,,Shelter,""
"Bow Wows and Meows Pet Rescue",vw329@aol.com,,"Seale",AL,,,Shelter,""
"Buddy's Buddies Animal Rescue, Inc",bbar@rescueteam.com,(863) 257-4228,"Alexander City",AL,,,Shelter,""
"C.H.A.R.M., Inc. (City of Headland Animal Rescue Mission)",charmheadland@gmail.com,(334) 693-9097,"Headland",AL,,,Shelter,""
"CAAWA",caawarescue@yahoo.com,(256) 636-4627,"Cullman",AL,,,Shelter,""
"Callie's Place",traceymrobertson@aol.com,(205) 792-0197,"Northport",AL,,,Shelter,""
"Challenger's House",challengershouse@mchsi.com,(256) 420-5995,"Toney",AL,,,Shelter,""
"Cherokee Humane Society, Inc.",humanesociety@tds.net,(256) 779-7159,"Cedar Bluff",AL,,,Shelter,""
"City of Mobile Animal Shelter",lursene@cityofmobile.org,(251) 208-2800,"Mobile",AL,,,Shelter,""
"Clarke County Animal Shelter",clarkecoshelter@gmail.com,(251) 275-1055,"Grove Hill",AL,,,Shelter,""
"Clay County Animal Shelter",claycountyanimalshelter@gmail.com,(256) 354-1453,"Ashland",AL,,,Shelter,""
"Colbert County Animal Control Association",ccaca@bellsouth.net,(256) 381-4073,"Tuscumbia",AL,,,Shelter,""
"Cora's Critters Animal Rescue",corascrittersanimalrescue@gmail.com,(256) 520-0916,"Huntsville",AL,,,Shelter,""
"Crossing Paths Animal Rescue",met@otelco.net,,"Locust Fork",AL,,,Shelter,""
"Dale's Den Rescue",dalesdenrescue@gmail.com,,"Spanish Fort",AL,,,Shelter,""
"Decatur Animal Services",cwicks@decatur-al.gov,(256) 341-4790,"Decatur",AL,,,Shelter,""
"Dekalb County Animal Adoption Center",ljohnson@dekalbcountyal.us,(256) 304-0474,"Ft. Payne",AL,,,Shelter,""
"Dirty Dawg Rescue",dirtydawgrescue@gmail.com,(256) 636-0926,"Vinemont",AL,,,Shelter,""
"East Alabama Humane Society",eahs4pets@yahoo.com,(334) 298-6446,"Phenix City",AL,,,Shelter,""
"Fairhope Cat Coalition",info@fairhopecatcoalition.org,(251) 367-1711,"Fairhope",AL,,,Shelter,""
"Fairy Dogmother Rescue, Inc.",fairydogmother@gmail.com,(256) 338-0371,"Baileyton",AL,,,Shelter,""
"Forgotten Felines Inc.",info@ffhsv.org,,"Capshaw",AL,,,Shelter,""
"Friends of Cats and Dogs Foundation",jennyfcdf@gmail.com,,"Birmingham",AL,,,Shelter,""
"Friends of Marshall County Animals",friendsofmarshallcountyanimals@gmail.com,(256) 505-7730,"Horton",AL,,,Shelter,""
"Friends of Rescue (FOR)",info@forrescue.net,,"Huntsville",AL,,,Shelter,""
"Friends of the Mobile Animal Shelter",info@adoptapetmobile.org,(251) 208-2830,"Mobile",AL,,,Shelter,""
"Furever Friends of the South K-9 Rescue",info@ffosk9resq.org,,"Crossville",AL,,,Shelter,""
"Furry Friends Rescue",furrypets1@hughes.net,,"Headland",AL,,,Shelter,""
"Global K9 Solutions",sara@gk9s.info,,"Auburn",AL,,,Shelter,""
"God's Feral Felines Inc.",godsferalfelines@gmail.com,(256) 960-0538,"Guntersville",AL,,,Shelter,""
"Great and Small Foundation",greatandsmall15@yahoo.com,(256) 740-7738,"Eva",AL,,,Shelter,""
"Greater Huntsville Humane Society",info@ghhs.org,(256) 881-8081,"Huntsville",AL,,,Shelter,""
"Guntersville Animal Shelter",jeanniegah@chyoung.net,(256) 582-3184,"Guntersville",AL,,,Shelter,""
"Helping Shepherds of Every Color Rescue",everycolorrescue@yahoo.com,,"Montgomery",AL,,,Shelter,""
"Holmes Feline Clinic",info@holmesfelineclinic.com,(205) 822-0692,"Birmingham",AL,,,Shelter,""
"Homeless Animals Rescue Team",alabamahart@gmail.com,(256) 649-0971,"Talladega",AL,,,Shelter,""
"Hope4Hearts Animal Rescue, Inc.",hope4heartsar@gmail.com,,"Mobile",AL,,,Shelter,""
"Humane Society of Central Alabama",lynnsanders01@gmail.com,(334) 431-0476,"Selma",AL,,,Shelter,""
"Humane Society of Elmore County",hselco@bellsouth.net,(334) 567-3377,"Wetumpka",AL,,,Shelter,""
"Humane Society Pet Rescue and Adoption Center",adoptions@hsprac.com,(256) 442-1347,"Gadsden",AL,,,Shelter,""
"Huntsville Friends of Rabbits",huntsvillebunnies@hotmail.com,,"Huntsville",AL,,,Shelter,""
"J & L Golden Retriever Rescue",lkh5@mchsi.com,(251) 404-0045,"Point Clear",AL,,,Shelter,""
"Jackson County SPCA",riverrun@farmerstel.com,(256) 451-8401,"Pisgah",AL,,,Shelter,""
"Jeremy's Boggle Ferret Bungalow",jeremysboggle@gmail.com,(334) 301-3558,"Grady",AL,,,Shelter,""
"Joe Jackson's Dog World, Inc.",jjdogworld@gmail.com,(205) 646-3070,"Jemison",AL,,,Shelter,""
"K9 RESQ of AL",k9resqofal@gmail.com,,"Birmingham",AL,,,Shelter,""
"Kee Kitty Friends",catsnkeys@yahoo.com,(706) 464-1172,"Ashford",AL,,,Shelter,""
"Kitty Kat Haven and Rescue",kittykathaven1@gmail.com,(205) 302-8883,"Hoover",AL,,,Shelter,""
"Krewe de Rescue",krewemobile@gmail.com,,"Mobile",AL,,,Shelter,""
"Lake Martin Animal Shelter",lmhsdirector@gmail.com,(256) 234-5533,"Alexander City",AL,,,Shelter,""
"Last Chance Dog Rescue Alabama",were4dogs@gmail.com,,"Alabaster",AL,,,Shelter,""
"Lee County Humane Society",lchs1140@leecountyhumane.org,(334) 821-3222,"Auburn",AL,,,Shelter,""
"Lifeline Pet Rescue",pennyw@hiwaay.net,(256) 881-0664,"Huntsville",AL,,,Shelter,""
"Lil' Tykes Rescue & Adoption",carousel36360@gmail.com,(334) 598-2473,"Daleville",AL,,,Shelter,""
"Macon County Humane Society",maconcountyhumanesociety@yahoo.com,(334) 727-0776,"Tuskegee",AL,,,Shelter,""
"Madison Animal Rescue Foundation",madisonarf@gmail.com,,"Madison",AL,,,Shelter,""
"Marshall County AL Animal Control",marshallcoaco@gmail.com,(256) 960-0960,"Guntersville",AL,,,Shelter,""
"Mercy Animal Hospital",jenna@mercyvets.com,(205) 631-4432,"Gardendale",AL,,,Shelter,""
"Mobile County Animal Shelter",mcacshelter@mobile-county.net,(251) 574-3647,"Mobile",AL,,,Shelter,""
"Mobile SPCA",robin@mobilespca.org,(251) 633-3531,"Mobile",AL,,,Shelter,""
"Monroe County Animal Shelter",monroecountyshelter@gmail.com,(251) 575-3427,"Monroeville",AL,,,Shelter,""
"Montgomery Humane Society",msspeedy307@hotmail.com,(334) 409-0622,"Montgomery",AL,,,Shelter,""
